,title,topic
49224,"Tony Hawk remaster renames ""mute grab"" trick out of respect for its creator",History
62466,"Apple kills long-time Mac developer's apps with no warning, and isn't responding",History
7863,Xiaomi Mi 8 Lite now getting MIUI 12 stable update,History
97111,"Want a new iPhone? 3 reasons to wait for the iPhone 12, even if you don’t want it",History
53709,Here's when you can watch Rocksteady's Suicide Squad reveal,History
102004,The Ascension of Sony’s First Party – And What It Means For PS5,History
71553,Microsoft xCloud for Android Game Streaming Service Launches September 15 on Xbox Game Pass Ultimate,History
15741,"Top New Game Releases On Switch, PS4, Xbox One, And PC This Week -- August 9-15, 2020",History
41185,Paid Streaming Grows as Consumers Head Indoors (Again): Five Key Insights From Nielsen Music/MRC Data's COVID-,History
51324,There are more people watching Fall Guys on Twitch right now than any other game,History
72395,Flight Simulator Achievements list,History
12814,This Grand Theft Auto 5 mod lets you control a plane using your body,History
48767,Western Digital's 5TB My Passport external hard drive is now on sale for $100,History
423,Google Pixel 5 leak suggests 8th October launch,History
10527,2020 Is Becoming the Year of Staking With Some Major Achievements,History
39919,Boris Becker heads out for lunch with girlfriend Lillian De Carvalho and his son amid ex Lilly row,History
10707,Sensor Tower: Apple's removal of Fortnite cuts off $1.2b in player spending,History
2488,Microsoft confirms issues with Windows 10 2004 drive optimizer,History
13420,AMD Zen now at 6W TDP: Dual Core for Education,History
7181,Here’s everything new in Android 11 Beta 3 [Gallery],History
57693,Galaxy Note 20 and Galaxy Note 20 Ultra hands-on: It’s a new beginning,History
5372,"Horizon Zero Dawn is not the perfect PC port, but it's promising",History
3927,"Officer Dick Reportedly Returning in Tony Hawk's Pro Skater 1 + 2, Played by Jack Black",History
17643,Morning Music: Mega Man 8 And ‘Electrical Communication’,History
23356,Google Releases Flutter 1.20,History
259,"Tahouri To Compose ""Avengers"" Game Score",History
9963,Coronavirus tracing apps launching in 3 more states,History
83242,"Google announces new features like hand raising, to-do widget and more for Meet and Classroom",History
51453,210 Staff From Carroll's Cuisine Return Negative Covid-19 Tests,History
102834,OnePlus Nord Internals Exhibited by Carl Pei in New 'Tear-Up' Assembly Video,History
99837,Coronavirus: England's contact-tracing app gets green light for trial,History
39076,Second generation Toyota 86/Subaru BRZ prototype spy photos,History
69802,Surfer mum Courtney Adamo breaks her silence,History
6302,"‘Baldur’s Gate III’ will no longer release in August, new date coming soon",History
59957,Huawei could bring full-display fingerprint biometrics to mobile devices,History
75454,"Supercar driver destroys £150,000 pink McLaren after losing control on posh central London street",History
17231,Half-price Porsche Macan Turbo | Spotted,History
16351,Control’s Ultimate Edition to include free upgrade to Series X and PS5 ports,History
64255,"Google Search to offer Covid-19 related safe travel plans, hotels stay and more features",History
19488,Fans Think The Suicide Squad Cast Video Hints At John Cena And Idris Elba’s Roles,History
2996,Intel Architecture Day 2020 Gives A Glimpse Into A Brighter Future,History
16207,League fan creates superb floral-themed Spirit Blossom Xayah concept,History
56384,Instagram Faces Lawsuit Over Illegal Harvesting of Biometrics,History
32202,Sam Fisher's latest detour is a trip to Rainbow Six Siege,History
6634,"Marvel’s Avengers Beta Doesn’t Deliver Superhero Spectacle, But There’s Hope",History
19972,Launch of Immerse's Open VR Platform Brings VR Training to More Businesses Than Ever Before,History
70385,OnePlus smartphones to get 'Always-on Display' feature,History
32826,Tuned Audi RS3 Takes on BMW M2 CS and AMG A45 S in Drag Race,History
104233,Pokémon Go Making a Splash: How to do the Community Day research,History
63185,Chip supplier Qualcomm seeks to avert ‘costly’ US ban on exports to Huawei – report,History
3195,Microsoft Surface Duo battery life could destroy Samsung Galaxy Z Fold 2,History
97174,Games Inbox: Has PS5 already won the next gen?,History
42346,Fall Guys’ servers are struggling on launch day,History
13937,Rampart is the first Apex Legends character with a specific weapon type proficiency,History
103723,New Mac malware infects and spreads via Xcode projects,History
106123,Codemasters changes Dirt 5 release date,History
3610,Apple was the only Smartphone Vendor in Q2-20 to post Growth in the U.S. Market due to Strong Sales of their entry iPhone 11 Model,History
2730,Muselk explains why he still prefers Fortnite over Warzone,History
275,Microsoft Opens Pre-Orders for Surface Duo - US Only,History
61103,"Apple's new 27-inch iMac sports 10th gen Intel chips, Nano Texture option",History
2696,"Android 11 upgrades autofill for passwords by using your keyboard, already working w/ Gboard",History
1195,Ronan Glynn slates ‘reckless’ behaviour in Berlin D2 bar following shocking videos,History
369,"Parallels 16 is now available with 20% faster DirectX 11, multi-touch gestures, and more",History
13119,Berjaya Sompo's heroes pivot to a pandemic mission | Advertising,History
102189,39 Products With Incredible Before-And-After Photos That Belong In The Hall Of Fame,History
34580,Asus highlights why you shouldn't buy an imported ROG Phone 3 from China,History
3184,Samsung Galaxy Buds Live vs Apple AirPods Pro specs and prices,History
17947,"Marvel's Avengers has potential, but the beta leaves us with more questions than answers",History
10395,New Auto-Tune® Subscription Brings Professional Quality Vocal Production Tools to the Masses,History
8883,Samsung unveils new version of folding smartphone,History
25866,Instagram starts merging chats with Facebook Messenger,History
86464,Apps using Apple-Google Exposure Notification API see robust adoption in Ireland and Germany,History
20448,Here's our first real look at OnePlus' upcoming always-on display feature,History
47064,"Samsung's Super High Variable Refresh Rate Screens Will Soon Come to More Smartphones, and I Can't Wait",History
101818,Beyond KrØØk: Even more Wi‑Fi chips vulnerable to eavesdropping,History
773,Fury over Call of Duty Warzone ‘game breaking’ bugs that let players see through walls and delete items,History
102000,Why Omega's new James Bond watch is whetting our appetites for No Time To Die,History
91179,Why Call Of Duty: Warzone’s Glitch Fix Patch Is 66 GB On Xbox One,History
22047,How Teamfight Tactics was designed to target former League of Legends players,History
59011,Apple TV+ offers subscribers Showtime and CBS All Access for $10 monthly,History
55072,Secretlab League of Legends Gaming Chair Review: Subtle Styles and Comforts,History
44422,OnePlus 8 Pro Starts Receiving OxygenOS 10.5.12 Update With August Security Patch in India,History
78378,Transform your canned drinks into cups with this cool little gadget,History
17983,Solved: Modern Warfare Warzone Server Error 8192 11.08 -  THEGAMEROOF,History
12149,"HP Envy 17 review: A home laptop that's sleek and satisfying, but not a standout",History
47349,Google Files adds a secure folder protected with PIN,History
92749,Samsung's local e-commerce site is now live,History
2994,TikTok is moving into longer-form video with More on TikTok,History
93509,"To save money, Samsung relocates smartphone production to India",History
91509,Halo: Infinite almost released in 2020 without multiplayer,History
108178,Apple Won't Allow Cloud Gaming like xCloud and Stadia on iOS,History
26385,Passat R-Line Makes It A Threesome And Compels You To Question Why Not Just Splurge On The Arteon,History
1612,"‘GoldenEye 25’ Reboot Stopped By Cease And Desist, But Project Still Lives",History
54761,A game of chess: an interview with a Fortnite cheat developer,History
89775,Android 11 makes autofill more seamless with keyboard integration,History
14900,‘Call Of Duty: Modern Warfare’ And ‘Warzone’ Season 5 Patch Notes Reveal Big Changes,History
102656,4 best open-world games you can play in 2020,History
15486,"The next Apple MacBook could get a serious price drop, and we can't wait",History
55096,When will my phone get Android 11?,History
20768,"PGA Tour 2K21 Preview – Hands-on Gameplay, Game Modes, Features & more",History
61471,Sony State of Play August 2020: Watch the PS4 and PS5 live stream right here,History
7536,Apple Seeds iOS 14 and iPadOS 14 Public Beta 4 to Testers,History
24432,The Last of Us HBO show has a 'jaw drop' moment not in the original game,History
40547,Report: iPhone shipments set Q2 US record as competitors see pandemic decline,History
80819,10 Simple Tips to Help Manage Kids' Screen Time,History
23770,The most exciting smartphones coming out in second-half of 2020,History
57759,Consumers spent 1.6 Trillion hours on mobile in H1 2020 according to latest report from App Annie,History
106051,Sony Plasters Champions League with PS5 Promos,History
91960,OnePlus Nord Malaysia: Everything you need to know,History
79181,How to watch the Kerwin Frost Telethon Supershow: Stream the virtual benefit live from anywhere,History
36468,Spotify Duo vs. Family vs. Individual: Which Premium Spotify plan is best?,History
86468,Nintendo Switch Lite inventory might be returning to normal soon — but it hasn't happened yet,History
42422,Waze's railroad alerts are now available worldwide,History
1330,SpaceX Starlink: early speed tests reveal big strength for constellation,History
54645,Turtle Beach Stealth 600P review,History
24985,"Samsung Note 20 Pre-Orders Live Now, Include 3 Months of Xbox Game Pass Ultimate",History
9244,6 Ransomware Trends You Should Watch for in 2020,History
2431,Huawei Mate 40 Pro sale price leaked!,History
18857,"Street Fighter Producer Yoshinori Ono Leaving Capcom, Series To Be Led By New Generation",History
5544,"A Closer Look At Intel's Xe-HPG GPU For Gamers With Ray Tracing, VRS And Image Sharpening",History
7559,Samsung unveils new Note devices as Unpacked goes virtual,History
85184,"Samsung Galaxy S10 Fan Edition with Exynos 990 processor surfaced on Geekbench, reveals hardware details",History
50563,Certain Huawei Devices Won't Receive Android Updates,History
23091,Google turns Android phones into earthquake sensors,History
20972,vivo Y20 is on the way with the Snapdragon 460 at the helm news,History
895,2021 Kona bikes range : 5 highlights from the new line up,History
79353,"HSE'S Covid-19 tracker app has been deleted by 86,000 people",History
76343,Retailers are allowing people to register interest in the PlayStation 5,History
14658,Facebook says over 200 million people watch its gaming livestreams,History
101646,The next-gen Xbox will ship in November,History
22120,Planet Coaster: Console Edition hands-on — Controller compatible coasters,History
15997,College students: 4 tips for choosing a computer to buy,History
100518,PlayStation State of Play start time: Here's when to watch August PS4 event,History
17755,Samsung Galaxy M31s Review: Great value for money | BGR India,History
5649,"Google Assistant Now Lagging on Android Auto, And It's All Getting Ridiculous",History
11884,Google’s live-captioning feature will soon work with voice and video calls on Pixel phones,History
72148,"Apple Vs Trump, Russia, China: Will ‘Sideloading’ Save Apple?",History
32226,How Google Improves Search Results,History
788,"Polk Audio Signa S3 Review: Quality Bar, Steep Competition",History
23085,Galaxy Note20 is getting a gaming bundle and a special Xbox Game Pass app - comments,History
26804,Amazon Prime Day sale: How the company pulled it off during the pandemic,History
98244,The best DNA test kit 2020,History
73886,How To Unlock The Rest Of Paper Mario: The Origami King’s Settings,History
86326,It's raining killer deals on wireless Sony headphones and earbuds at Best Buy,History
87695,Vodafone users will get one year extended warranty on the Vivo X50 series,History
55711,Microsoft looks to leverage cloud dominance in console war with Sony,History
3418,"Microsoft fixes 120 vulnerabilities, including 2 zero-day bugs",History
41557,"Infinix Hot 10 Spotted in Google Play Console and other certifications, few specs revealed",History
10382,You can now use Google Search to easily find live TV shows and sports,History
55327,"Grand Theft Auto 5 sold over 400,000 copies during lockdown in the UK alone",History
77760,Pixel 5 availability shows Google still can't get its act together,History
49798,Apple kills long-time Mac developer's apps with no warning,History
95477,Motorola E7 Plus Specifications Leaked; To Ship With Snapdragon 460 SoC,History
8101,Google Pixel 4a Review,History
20867,Ford Models launches esports division,History
25203,"Sony WF-1000XM3 True Wireless Earphones With Active Noise Cancellation Launched in India, Priced at Rs. 1...",History
45439,"Cyberpunk 2077: Corpo, Nomad and Street Kid lifepaths revealed in new Night City episode",History
66554,Oppo Reno 4 Pro Review,History
20394,How to change your Netflix password or reset it,History
12556,"Facebook (FB) Begins Merging Chats From Instagram, Messenger",History
56800,Galaxy Note 20 Ultra first impressions: practical luxury | PhoneArena reviews,History
4339,"Add ""Run in Sandbox"" options on Windows 10",History
3480,Virgin Media customers get Marvel's Avengers beta access this weekend,History
24400,Microsoft set to leverage cloud dominance in console war with Sony,History
3424,"Love them or hate them, spreadsheets are going 3D",History
37583,Google Chrome Browser Bug Exposes Billions of Users to Data Theft,History
93719,Need a cheap laptop for school? This Lenovo is down to $380 — save $50,History
83480,Paper Mario Origami King game-breaking bug being fixed,History
9369,‘Cast Connect’ will fundamentally improve the Chromecast and Android TV experience,History
60811,Xbox Fans Are Retaliating Against Apple Blocking xCloud on iOS Devices,History
15731,Facebook's new open-source Pysa security tool detects hackable code,History
40640,"Google launches Nearby Share on Android, rolling out now to Pixel & Samsung devices",History
7887,Top iOS 14 features an iPhone user should be excited about,History
9144,Apple TV+ Subscribers Can Now Bundle CBS and Showtime for Discounted $9.99 Per Month,History
32267,You Have 24 Hours to Get 'A Total War Saga: Troy' for Free,History
3486,"PlayStation Showcase Game Was ‘Stolen,’ Say Former Developers",History
56255,"This week’s top stories: OxygenOS 11 hands-on, Pixel 4a ‘Eclipse’ live wallpaper, more",History
36539,Fortnite for Android just got axed from the Google Play Store too,History
32021,Video: SixSixOne Breaks into the Eyewear Market with the Radia Goggle,History
51357,Twitter fixes security issue affecting some Android devices,History
2752,PUBG: Fans should not miss these latest updates,History
107366,Incognito Mode May Not Work the Way You Think It Does,History
52641,"9 Free PS4, Xbox One, and PC Games to Play This Weekend",History
43606,Telegram Launches Video Calls Feature for Android and iOS Users,History
73968,"This Apple product used to be terrible, but I now highly recommend it",History
47111,Beat the heat: Four personal fans for $8 or less,History
10966,HTC quietly launches its next budget-friendly smartphone,History
32032,"Dell 48-Hour Sale: Save on Alienware and G-Series Gaming PCs, XPS Laptops, and More",History
79686,Facebook sued for allegedly harvesting biometric data via Instagram,History
7413,Apple might launch a cheaper CBS All Access and Showtime bundle for TV+,History
52865,Horizon Zero Dawn shows how you do a PC port right,History
4470,WhatsApp will let you sync your message history to multiple devices,History
864,App Annie: Mobile advertising is a must during the pandemic,History
444,Google Introduces New Google Maps Profiles Feature,History
2747,"Twitter PWA gains conversation controls, branded likes, and more",History
56002,Fifa football games give 'toxic' celebrations the red card,History
8142,Xiaomi Mi 10 Ultra uses TCL display - comments,History
91306,Samsung Galaxy Note 20 Ultra: How good is the new S Pen?,History
19109,Motorola Razr with 5G is reportedly dropping on Sept. 9,History
3840,"Galaxy Note 10 vs. S10: Honestly, we don't think the S Pen is worth it",History
6111,Apple releases iPadOS 14 and iOS 14 beta 4 to developers,History
38287,Hitman 3 PS VR Support Will Let You Play the Entire Trilogy as VirtualAgent47,History
13944,AMD Ryzen 9 4950X / 5950X 16C/32T Zen 3 Vermeer's boost clock may touch the 5 GHz mark; AMD could skip 4000 series naming for desktop,History
49440,Samsung Galaxy Buds Live vs. Galaxy Buds Plus: Which should you buy?,History
26219,ASUS announces world's first HDMI 2.1-capable 4K 120Hz gaming monitor,History
74452,"Alan Wake and Control are part of the ""Remedy Connected Universe""",History
10881,Yachts Finally Have a Purpose in GTA Online Update,History
51551,Maserati’s Got A 326KM/H Ghibli Now Hot Damn,History
8294,You Can Now Dress in Your Favorite McDonald's Merch on 'Animal Crossing: New Horizons',History
40169,Is this our first look at an Nvidia GeForce RTX 3090’s PCB? Probably not,History
1662,Early speed test results for Elon Musk's Starlink satellite network leaked,History
10837,Fall Guys' First Post-Launch Patch Fixes Major Issues and Adds Fan-Favorite Level From Beta,History
6809,Smartphone shipments in China plunge 35% in July: Government data,History
71218,"Intel Schedules Tiger Lake Architecture Presentation For August 13th, Launch on September 2nd",History
101494,"Cyberpunk 2077 is “a much, much deeper role-playing experience than The Witcher 3”",History
40007,TikTok has been collecting device identifiers for over a year in violation of Android policies,History
57544,"Fortnite Lowers V-Bucks Prices, Calls out Apple and Google's 'Exorbitant' Mobile Payment Fees",History
43059,"Apex Legends Boosted Gameplay Trailer Offers First Look At Map Updates, New Legend, New Weapon & New Crafting Mechanic",History
80517,"GTA Online Summer Special release date, launch time, Grand Theft Auto 5 patch notes news",History
79649,The value of the PS5 might have just been leaked by a French retailer,History
10938,Researchers develop strategy for identifying Twitter trolls in 50 tweets,History
70883,The Real Reason You Shouldn’t Rely on Wireless Charging,History
18961,"Forget TikTok, Apple iPhone shipments could drop 30% with WeChat ban, analyst says",History
18372,All Of Today’s PlayStation Announcements,History
45149,Leak reveals how much the Microsoft Surface Duo will cost,History
8248,Jon Prosser: Apple to Announce iMac Refresh Today Without Redesign,History
42261,Google discontinues Pixel 4 smartphone 9 months after release,History
81278,Garmin Pay support has quietly been rolled out in Malaysia,History
22262,Xiaomi CEO reveals the plan of the next 10 years,History
61295,This Sony WF-1000XM3 deal is an ANC earbud no-brainer,History
29332,Fortnite Publisher Announces $1.78 Billion Funding Including Sony's $250 Million,History
25857,New Skywind trailer offers a fresh look at fan-made remaster of Morrowind,History
60659,Teenager leaves family dumbfounded with fake 'influencer' prank: 'I felt everything sink',History
1205,Google reintroduces Google Maps for the Apple Watch after pulling it out 3 years ago,History
4733,Samsung's Galaxy Buds Live are surprisingly easy to repair,History
77920,Sony's PS5-Optimized TVs are Still Lacking Important Features,History
56,Toshiba shuts the lid on laptops after 35 years,History
71113,Today may be the day SpaceX's Starship prototype takes flight,History
20629,Spotted At Hot Chips: Quad Tile Intel Xe-HP GPU,History
3402,ASUS ROG Zephyrus G14 GA401IV review: Creator’s delight,History
99465,Mi 10 Ultra goes official with game-changing cams and industry-leading charging features,History
92881,"Liverpool news and transfers LIVE - Kostas Tsimikas medical, Gary O'Neil appointed, Thiago Alcantara update",History
103418,Intel Is Investigating a 20GB Leak of the Company's Confidential Files,History
15498,Tony Hawk's Pro Skater 1 + 2: Release Date & Features – Canstar Blue,History
35689,"Google officially announce Nearby Share, their competitor to Apple’s AirDrop",History
54756,Google Pixel 4a vs Google Pixel 3a: how does 2020's phone compare?,History
34840,UFC 4: Top 10 wrestlers revealed – Who are the best grapplers at launch?,History
232,Intel Celeron N4000 vs N4100 vs N4120: What’s the difference?,History
63287,"Obesity should be redefined to curb fat shaming, new guidelines say",History
2369,Redmi Router AX6 With Wi-Fi 6 Support Launched,History
17582,This YouTuber's mask gun is a perfectly American fix for anti-maskers,History
88259,Everything To Expect From Today's Samsung Galaxy Note 20 Launch,History
4466,How to transfer your music from Google Play Music to YouTube Music,History
61049,"Nintendo Switch Sales Surpass 61 Million, Equalling The Mighty NES",History
105153,iMore Show 714: Anti-dongle Portapalooza,History
66029,"Out now on PC and PS Plus, Fall Guys seems to be having a real moment",History
103230,Apple TV+ subscribers get CBS All Access and SHOWTIME bundle at a great value,History
59478,Hood Outlaws & Legends – A Blend of Assassins Creed and Thieves,History
6819,Cyberpunk 2077 Reveals New Feature That Completely Changes Cutscenes,History
20362,Welcome to Beautiful Sound: Introducing the Stunning New Range of Headphones and Speakers by Harman Kardon®,History
72730,8 signs that suggest your Android smartphone is ‘hacked’,History
9048,Bethesda Confirms ‘DOOM Eternal’ And ‘ESO’ For Xbox Series X And PS5,History
49439,"Xbox Chief Phil Spencer Talks Xbox Series X, Halo Inside Animal Crossing: New Horizons",History
62941,"Gaming laptops on sale: Save up to $200 on HP, Lenovo, and Asus",History
1139,Yamaha's B20 DTS Virtual:X soundbar is compact and affordable,History
16218,Ring Teams With AWE For X-Line,History
5285,RUMOR: The Legend of Zelda: Skyward Sword Might Come to Switch « Nintendojo,History
90475,Fortnite Chapter 2 Season 3 Week 9 Challenges Leaked,History
1917,"Facebook, Microsoft gripes with Apple's App Store on EU's antitrust radar",History
32256,The Dark Knight's Joker plot hole was resolved years ago,History
1894,This cheap AMD Ryzen mini PC has two unique features that all vendors should copy,History
32390,Redmi K30 Ultra launched with affordable price yet offers premium features,History
90270,The Walking Gundam Statue Is Now Complete With New Video,History
40145,An expanded version of Pikmin 3 is heading to Nintendo Switch,History
9124,‘Stalkerware’ phone spying apps have escaped Google’s ad ban,History
88002,"LG Q92 spec sheet leaks: Snapdragon 765G and 4,000mAh battery confirmed",History
79084,iPhone 12 release date may have been revealed in new leak,History
43,Xiaomi rolls out Android 10 to the Redmi Note 7 Pro in India as Mi Note 10 and Redmi Note 8 Pro receive new MIUI 12 upgrades,History
4935,"Take-Two CEO Says $70 PS5 And Xbox Series X Game Prices Justified By ""Extraordinary Quality""",History
11163,Tidal vs Spotify,History
29146,"Roland’s TR-8S gets a free FM synthesis engine, making it “the most complete drum machine ever”",History
72818,Nvidia GeForce Ampere graphics card countdown begins – 21 days - Graphics - News,History
6822,Microsoft Flight Simulator Gets Impressive Video Showing the True Power of AI and The Cloud,History
3552,"Flipkart Big Saving Days Sale: iPhone SE, ASUS ROG Phone 3, Redmi K20 Pro and More",History
91896,"Facebook begins merging Instagram, Messenger chats: Report",History
2087,Apple TV+ to Launch First Discounted Video Content Bundle,History
98966,"Realme C11 to Go on Sale Today at 12 Noon via Flipkart, Realme.com: Price in India, Specifications",History
6601,Frog Fractions' New $8 Hat DLC Contains A Lot More Than Just A Hat,History
10950,Microsoft's Your Phone App Can Now Run Android Apps on Your PC,History
15948,You Can't Drive This New Lambo On The Road – But You Can Buy It...,History
3040,Michael Jordan's 1996 Mercedes-Benz S600 is up for auction,History
243,Oppo Reno 4 Pro hands-on: Flagship features on a midrange phone,History
72416,Your Alexa could have been hacked just by clicking a single Amazon link – letting hackers listen in on your h,History
27493,The DualSense controller will have a 95% larger battery than the DS4,History
1449,"Suicide squad game to be announced on 22 August, confirms Rocksteady Studios",History
17192,Huawei's Galaxy Z Fold 2 rival might have an inward-folding display,History
87512,Everything About the Fortnite Situation Sucks,History
14202,"Beautifully Animated 2D RPG 'Eastern Exorcist' Fuses Masterful Melee-Based Combat with Chinese Opera, and it's out on PC today",History
12904,Facebook starts integrating Instagram and Messenger chats as it rolls out new update,History
45421,Smart 5G-certified Samsung Note20 Series pre-orders now open,History
65783,Nexon Releases Earnings for Second Quarter 2020,History
17409,Paul W.S. Anderson Says Monster Hunter is 100 Percent Finished,History
75608,"Xiaomi Mi TWS Active Noise Cancelling Earbuds Spotted, Could be Launched Soon",History
2476,Surfer mum Courtney Adamo breaks her silence,History
94,Long-time Mac developer's apps pulled from Mac App Store because of automated system failure,History
16944,The Apex Legends World's Edge Train will stop in Season 6,History
95914,Scribd acquires presentation-sharing service SlideShare from LinkedIn,History
48160,Apple Legally Goes After Startup Over Their 'Pear' Logo,History
33068,New Pokemon Sword And Shield Raid Event Features Lots Of Ground And Water Pokemon,History
240,"Firefox gets next-gen anti-tracking defence, stymies 'bounce' trackers",History
46739,Twitter is testing a new 'Quotes' counter,History
44302,Huawei Launches New 'GameCenter' Gaming Hub in South Africa,History
17979,How to Turn Your App Idea from Dream to Reality,History
53403,Poco X2 Gets MIUI 12 Update in India: Everything You Need to Know,History
92004,Dr Disrespect Gives Statement On Twitch Ban During His YouTube Return Stream,History
32555,"Pro-ject unveils new turntable, the Debut Carbon Evolution",History
62921,Zoom app tips: 6 features you must try on your next video call,History
9871,'Minecraft: Education Edition' is available on Chromebooks,History
48407,The Bachelor's Zoe-Clare McDonald suffers a very unfortunate hair extension fail,History
12430,Install This ‘Dark Sky’ Android Clone While You Can,History
1423,PlayStation just made a big TV commercial push for Ghost of Tsushima,History
16276,Noblechairs launches Doom Edition gaming chair – just in time for QuakeCon,History
1053,"The camera zoom on Huawei's P40 Pro Plus is so good, it's scary",History
86994,"Huawei’s new MateBook X Reportedly to Come in four colours: Silver, Blue, Dai and Pink",History
79599,"ASUS Zenfone 7, Zenfone 7 Pro Launch Date Announced: Here are the Expected Specifications, Features",History
107680,Scalpers Are Already Selling The Analogue Pocket At Ridiculous Prices,History
64330,Apple releases first public beta of watchOS 7 to Apple Watch users,History
1582,Chipotle: How to get the Tony Hawk’s Pro Skater demo for free,History
51516,VALORANT error code 39 explained,History
4205,FaZe Clan Signs Babybay as Fourth VALORANT Player,History
93706,Bek Design Wireless Controller Game Pad Black for Xbox 360,History
1750,Halo Infinite Has Been Delayed Until Next Year,History
1909,Sabrent HB-SIMC Thunderbolt 3 Hub review,History
73324,Halo Infinite Is Delayed. Now What? – Unlocked 456,History
75164,"‘Ghost Of Tsushima’ Patch 1.06 released, improves Traveler’s Attire",History
12473,"FIFA 21 FUT Reveal COUNTDOWN: How to Watch, Start Time, and more",History
10475,‘Cyberpunk 2077’ developers “not 100 per cent happy” with melee combat,History
33063,"Samsung Note 20 Pre-Orders Include 3 Free Months Of Xbox Game Pass Ultimate, Controller",History
3458,Xiaomi Gives Clarification on Status of Banned Chinese Apps on Its Phones,History
74520,Best AN-94 loadouts for Warzone and Modern Warfare,History
1218,"Mum who spent nearly £3,000 a year on takeaways undergoes epic transformation",History
72711,How to use Google One to back up your Android phone,History
57849,Apple Introduces A New Way To Make SMS Passcodes More Secure In iOS 14,History
637,Apple TV+ to Launch First Discounted Video Content Bundle,History
39683,Nokia C3 leaks day before official announcement *UPDATE: It is official*,History
36817,‘The Last of Us: Part 2’ Is Set to Become Even More Difficult,History
42748,NBA 2K21 Gameplay Details Potentially Leaked For Current-Gen Consoles,History
75245,Ghost of Tsushima was the best-selling game in the US in July,History
3481,"Overwatch Summer Event Now Live, Features New Game Mode And Skins",History
104641,"Huawei license expires, threatens to cut off Android updates for currently supported phones",History
11385,Maserati expands Trofeo collection,History
59510,"Co-Op Open-World RPG Cat Quest II Receives Huge, Free Update",History
4731,WB Montreal still reportedly working on a Batman game,History
10576,"itel Vision 1 3GB launched in India, priced at ₹6,999",History
17955,Motorola Razr 2 may impress little and fold up,History
22996,MPK Mini mk3 is solid but iterative upgrade to a classic MIDI controller,History
5951,Twin Peaks hit with sexual harassment lawsuit,History
68955,"Realme 6 Pro, Realme C3 now available in new colourways in Flipkart Big Saving Day sale",History
58696,Augmenting AWS Security Controls,History
3714,Bill Gates Is Fighting the Coronavirus in His Third Act | Marker,History
37353,Apple to donate to Lebanon relief effort following Beirut explosion,History
41031,Manthey Racing Turns The Porsche 911 GT3 RS Up To 11,History
6602,Latest eBOX626-311-FL Embedded System utilizes Trusted Platform Module (TPM) 1.2 Function,History
3442,Next year's iPhone could come with Galaxy Note 20 Ultra's dynamic 120Hz LTPO panel,History
57676,Huawei MateBook X: August 19-bound premium ultrabook to feature an Apple-inspired FreeTouch trackpad,History
17003,Fortnite: Tfue Catches Alleged Cheater At FNCS Finals,History
5840,Nvidia GeForce RTX 3080 could have the speed to decimate AMD Big Navi,History
90910,Remember voice tweets? Lmao.,History
609,Apple and UCLA Launch Depression and Anxiety Study,History
78346,Why Instagram Reels Will Beat TikTok Especially In The New Heartland,History
16221,Fortnite Maker Sues Apple and Google Over App Store Dispute,History
16623,"Boult Audio FreePods, ProPods, MuseBuds, PowerBuds TWS Earbuds Launched in India: All Details",History
51608,"Destiny 2 Solstice of Heroes 2020: Armor, date, and more",History
48279,"""Leave Xbox One and PS4 behind"": developers are tired of working with weak hardware of current consoles",History
55769,A-level results day: Apple giving away FREE AirPods to new students or their parents if they buy an iPad or,History
18368,"Rumor - PS5 Release Date, Price, Teardown And More Due After Xbox 'Shows Their Hand First'",History
101191,Rainbow Six Siege: Shadow Legacy Patch Hits TTS,History
8741,Ghost Of Tsushima's Weather Changes If You're Playing Stealthily,History
28180,"Fortnite's Gen Z gamers feel socially cut off after Apple, Google remove app",History
16143,NBA 2K21's First Gameplay Trailer Has a Few Surprises,History
100881,"Dr Disrespect Is Now Streaming On YouTube, Claims He Doesn't Know Why Twitch Banned Him",History
13325,Samsung Galaxy Buds Live are wireless earbuds with a difference,History
22151,"iPhone 11, XR or SE (2020): Which iPhone should you buy in 2020?",History
30157,Chevrolet Corvette to be pace car for Indianapolis 500,History
13885,"Lava Z66 with dual rear cameras, Android 10 introduced in India: Features, specifications and more",History
22074,Android warning: Simple ways to stop these dangerous apps from breaking your phone,History
106587,Microsoft prematurely ends its Xbox 20/20 initiative,History
79196,"Xbox Game Pass is the next generation of Microsoft gaming, not Xbox Series X",History
18395,Twitter testing automatic translations for tweets in different languages,History
15898,Apple Encourages Developers to Use iOS 14's New App Attest API to Protect Against Security Threats,History
3427,Microsoft will release its lifelike Flight Simulator this month on PC,History
72945,Samsung's old Galaxy Tab S5e can still be a smart buy at this hefty discount,History
32310,Charge 2 devices at once with this magnetic wireless pad,History
99163,Horizon Zero Dawn’s PC Port Is A Beautiful Disaster,History
22374,Apple rolls out first public beta of WatchOS 7: Here is how to download it,History
70522,Tencent gets green light to publish Ring Fit Adventure in China,History
11427,Xbox Consoles Are Getting A New Store Design,History
26377,Sony WH-1000XM4 price guide: find the best deals and prices on the new headphones right now,History
25195,"Google Play Music to shut down starting in September, will disappear by December",History
11980,CoD Mobile Gunsmith: All changes for Battle Royale & Multiplayer,History
56517,5 Secret WhatsApp Features That You Might Not Know About,History
96010,Tipster hints Xiaomi Mi 10 Ultra will be shockingly good,History
3470,Rare Celebrates Its 35th Anniversary,History
